,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble),,
0,Benign,7131,5000,3.98,4.96,4.87,4.89,6.6,,
1,DoS GoldenEye,6758,6539,6049.2289,6038.7665,6055.114,6055.114,6064.9225,,
2,Heartbleed,2222,1650,1581.03,1583.01,1584,1578.06,1584.99,,
3,DoS Slowhttptest,1414,1109,1072.9575,1071.9594,1072.9575,1072.9575,1074.9537,,
4,DoS Slowloris,1652,1342,1248.9994,1244.9734,1248.06,1249.9388,1249.9388,,
5,DoS Hulk,5413,5000,4694,4686,4695,4702,4704,,100
6,PortScan,9213,7386,6860.8554,6879.3204,6891.8766,6866.7642,6905.91,,
7,DDoS,6071,5000,4774,4781,4781,4772,4787,,
8,Infiltration,3861,2921,2902.8898,2887.9927,2897.0478,2902.0135,2906.9792,,
9,Web Attack-BruteForce,224,160,147.008,144.992,146,150,150,,
10,SSH-Patator,609,420,412.986,412.986,412.986,413.994,415.002,,
11,FTP-Patator,660,437,430.008,430.008,430.008,431.0131,432.0182,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,100,,
