,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble),,,
0,Benign,7127,5000,3.7,5.1,5.36,5.13,6.73,,,
1,DoS GoldenEye,6525,6312,6171.2424,6029.8536,6077.1936,6135.264,6207.852,,,
2,Heartbleed,2203,1632,1611.9264,1574.064,1589.0784,1594.9536,1614.048,,,
3,DoS Slowhttptest,1371,1074,1067.9856,1055.9568,1064.0118,1064.9784,1070.0262,,,
4,DoS Slowloris,1577,1269,1247.0463,1236.006,1245.0159,1245.0159,1255.041,,,
5,DoS Hulk,5413,5000,4880,4776,4805,4851,4898,,,
6,PortScan,9107,7284,7075.6776,6884.1084,6951.8496,6997.0104,7120.8384,,,100
7,DDoS,6077,5000,4934,4876,4903,4907,4945,,,
8,Infiltration,3054,2253,2243.988,2193.9714,2220.1062,2227.9917,2244.8892,,,
9,Web Attack-BruteForce,197,144,141.9984,137.0016,137.9952,139.9968,141.9984,,,
10,SSH-Patator,366,254,248.9962,245.999,248.0056,248.0056,250.0122,,,
11,FTP-Patator,400,260,257.01,249.99,249.99,253.994,257.998,,,
