,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble)
0,Benign,7100,5000,8.06,9.86,9.92,9.98,13.12
1,DoS GoldenEye,6235,6090,98.49,96.86,97.57,96.45,99.08
2,Heartbleed,2032,1468,99.32,97.21,98.23,96.59,99.52
3,DoS Slowhttptest,1248,964,99.59,98.34,99.17,98.55,99.79
4,DoS Slowloris,1294,1002,99.2,97.8,98.6,97.21,99.6
5,DoS Hulk,5382,5000,98.02,96.26,97.18,96.24,98.74
6,PortScan,8242,6451,97.75,95.27,96.96,95.75,98.5
7,DDoS,6072,5000,98.74,97.3,98.42,96.66,99.34
8,Infiltration,2437,1764,99.66,98.36,98.81,97.73,99.83
9,Web Attack-BruteForce,189,140,98.57,98.57,99.29,95.71,99.29
10,SSH-Patator,248,175,98.86,97.14,98.29,96.0,98.86
11,FTP-Patator,265,174,98.28,94.25,96.55,97.13,98.85
