,Class,Number of nodes,Number of edges (flows),Number of anomalies (OSVM),Anomaly Detection Rate (OSVM),Number of anomalies (IF),Anomaly Detection Rate (IF)
0,Benign,6086,5000,335.0,6.7,261.0,5.22
1,DoS GoldenEye,6841,6607,5255.0,79.54,5162.0,78.13
2,Heartbleed,2230,1656,1332.0,80.43,1254.0,75.72
3,DoS Slowhttptest,1888,1581,1391.0,87.98,1410.0,89.18
4,DoS Slowloris,1846,1529,1266.0,82.8,1290.0,84.37
5,DoS Hulk,5417,5000,3867.0,77.34,3829.0,76.58
6,PortScan,9396,7671,5813.0,75.78,5574.0,72.66
7,Botnet,737,736,19.0,2.58,0.0,0.0
8,DDoS,4502,5000,4184.0,83.68,3762.0,75.24
9,Infiltration,4887,3798,3586.0,94.42,3047.0,80.23
10,Web Attack-BruteForce,316,221,195.0,88.24,169.0,76.47
11,Web Attack XSS,105,66,64.0,96.97,52.0,78.79
12,SSH-Patator,661,457,408.0,89.28,355.0,77.68
13,FTP-Patator,697,464,425.0,91.59,367.0,79.09
